Point ID,Structured Coordinates:0,Structured Coordinates:1,Structured Coordinates:2,nd1p,nd2p,phisp
24349,38,151,0,1.0004920959472656,1.0003578662872314,0.0018101314781233668
24350,39,151,0,1.0011340379714966,1.0004181861877441,0.0033666163217276335
24351,40,151,0,1.0011467933654785,1.0006529092788696,0.006393422372639179
24352,41,151,0,1.0019341707229614,1.0012863874435425,0.008875064551830292
24353,42,151,0,1.0018270015716553,1.0018808841705322,0.012000412680208683
24354,43,151,0,1.0023300647735596,1.002232313156128,0.013067134656012058
24355,44,151,0,1.003402590751648,1.0022116899490356,0.013271407224237919
24356,45,151,0,1.0029326677322388,1.0021220445632935,0.018169740214943886
24357,46,151,0,1.0015709400177002,1.0023654699325562,0.025188101455569267
24358,47,151,0,1.0014479160308838,1.0022891759872437,0.02754928544163704
24359,48,151,0,1.0012226104736328,1.0019673109054565,0.02803611010313034
24360,49,151,0,1.0015275478363037,1.0014764070510864,0.02427416481077671
24361,50,151,0,1.0017236471176147,1.0005269050598145,0.01906200312077999
24362,51,151,0,1.001541018486023,0.9997759461402893,0.016727302223443985
24363,52,151,0,1.0011509656906128,0.9995370507240295,0.01606316864490509
24364,53,151,0,1.0016107559204102,0.9996679425239563,0.014455833472311497
24365,54,151,0,1.001098871231079,1.000087857246399,0.01594116911292076
24366,55,151,0,1.0008351802825928,1.000500202178955,0.01802224852144718
24367,56,151,0,1.001778244972229,1.0006743669509888,0.017354918643832207
24368,57,151,0,1.0008893013000488,1.000689148902893,0.02028203010559082
24369,58,151,0,1.0009007453918457,1.0006109476089478,0.02144842967391014
24370,59,151,0,1.0013169050216675,1.0005279779434204,0.021728551015257835
24371,60,151,0,1.0002912282943726,1.0004500150680542,0.024302177131175995
24372,61,151,0,1.000616431236267,1.000349760055542,0.023914743214845657
24373,62,151,0,1.0004953145980835,1.000089406967163,0.02355213090777397
24374,63,151,0,1.0012253522872925,0.9999741911888123,0.021571680903434753
24375,64,151,0,1.0008217096328735,1.000106692314148,0.023312943056225777
24376,65,151,0,1.0000873804092407,1.0005009174346924,0.0268144179135561
24377,66,151,0,1.0001438856124878,1.0007199048995972,0.02856006659567356
24378,67,151,0,1.0014609098434448,1.0006868839263916,0.02840302512049675
24379,68,151,0,0.9999170899391174,1.0004314184188843,0.03446425125002861
24380,69,151,0,1.0009902715682983,1.0002754926681519,0.03603925555944443
24381,70,151,0,1.0002124309539795,1.0003197193145752,0.04080180078744888
24382,71,151,0,1.0008269548416138,1.000687837600708,0.041850194334983826
24383,72,151,0,0.9999948740005493,1.0010932683944702,0.044554635882377625
24384,73,151,0,1.000356674194336,1.001121997833252,0.04373202100396156
24385,74,151,0,1.0006211996078491,1.0009815692901611,0.043433189392089844
24386,75,151,0,0.9999862909317017,1.0007885694503784,0.045449644327163696
24387,76,151,0,1.0012192726135254,1.000592589378357,0.04437827318906784
24388,77,151,0,1.0008502006530762,1.0002648830413818,0.04674374684691429
24389,78,151,0,0.9998899102210999,0.9998950362205505,0.050920113921165466
24390,79,151,0,1.0002188682556152,0.9996700286865234,0.05151224136352539
24391,80,151,0,1.000214695930481,0.9995195865631104,0.05013294517993927
24392,81,151,0,1.0008505582809448,0.9995000958442688,0.047097347676754
24393,82,151,0,1.0009928941726685,0.9992882013320923,0.04675872623920441
24394,83,151,0,1.0004019737243652,0.9993112087249756,0.04812067374587059
24395,84,151,0,1.0015008449554443,0.999422013759613,0.046873655170202255
24396,85,151,0,1.0012933015823364,0.999904215335846,0.05098463222384453
24397,86,151,0,1.0002059936523438,1.000626564025879,0.05776449665427208
24398,87,151,0,0.9991188645362854,1.0012245178222656,0.06343544274568558
24399,88,151,0,0.9994459748268127,1.001319169998169,0.061468590050935745
24400,89,151,0,1.000827670097351,1.0009688138961792,0.05422184616327286
24401,90,151,0,1.0009360313415527,1.0004538297653198,0.05141351372003555
24402,91,151,0,1.000200629234314,0.9998584389686584,0.05262467637658119
24403,92,151,0,0.9996164441108704,0.9992848038673401,0.05427231639623642
24404,93,151,0,0.9997581839561462,0.9987934231758118,0.053284063935279846
24405,94,151,0,1.0006892681121826,0.9985151886940002,0.05112820491194725
24406,95,151,0,1.0012637376785278,0.9985069632530212,0.05183295160531998
24407,96,151,0,1.000535488128662,0.9989299178123474,0.06011466681957245
24408,97,151,0,1.0001506805419922,0.9996833205223083,0.06797879189252853
24409,98,151,0,1.0002846717834473,1.0003389120101929,0.07348847389221191
24410,99,151,0,0.9998737573623657,1.0007632970809937,0.07948493212461472
24411,100,151,0,0.9991006851196289,1.000891923904419,0.0834832489490509
24412,101,151,0,1.0000243186950684,1.0006884336471558,0.0798645168542862
24413,102,151,0,1.0000466108322144,1.000045657157898,0.07600525766611099
24414,103,151,0,0.9996650815010071,0.9992038607597351,0.07365357875823975
24415,104,151,0,0.9992619156837463,0.9983510375022888,0.07001562416553497
24416,105,151,0,0.9998195171356201,0.997750997543335,0.06295463442802429
24417,106,151,0,0.9989506006240845,0.9978112578392029,0.057404112070798874
24418,107,151,0,1.000072956085205,0.9980837106704712,0.047515466809272766
24419,108,151,0,1.0001368522644043,0.9981521368026733,0.04196133464574814
24420,109,151,0,0.9999303221702576,0.9982381463050842,0.04113693907856941
24421,110,151,0,0.9997847080230713,0.9985198974609375,0.043117597699165344
24422,111,151,0,0.9996650218963623,0.9988523721694946,0.04630881920456886
24423,112,151,0,0.9998192191123962,0.999233603477478,0.04787282645702362
24424,113,151,0,0.9990867972373962,0.9996107220649719,0.05081332102417946
24425,114,151,0,0.9993830323219299,1.000230073928833,0.05339992418885231
24426,115,151,0,0.9994262456893921,1.0008944272994995,0.055686548352241516
24427,116,151,0,0.9990997314453125,1.0012234449386597,0.055890582501888275
24428,117,151,0,1.000159740447998,1.0015816688537598,0.050494708120822906
24429,118,151,0,1.001513957977295,1.0017673969268799,0.04462364688515663
24430,119,151,0,0.999983012676239,1.001785159111023,0.04604065418243408
24431,120,151,0,0.9993871450424194,1.0016623735427856,0.04554188624024391
24432,121,151,0,1.0008193254470825,1.0013031959533691,0.04084807261824608
24433,122,151,0,1.0001062154769897,1.001153826713562,0.041251931339502335
24434,123,151,0,0.999671995639801,1.0010591745376587,0.04142884537577629
24435,124,151,0,0.9994478821754456,1.0009974241256714,0.0389094278216362
24436,125,151,0,1.0007613897323608,1.0010862350463867,0.0319906584918499
24437,126,151,0,1.0008107423782349,1.0015387535095215,0.02797602489590645
24438,127,151,0,1.000514268875122,1.0019431114196777,0.026884054765105247
24439,128,151,0,0.9999614953994751,1.0020310878753662,0.026903949677944183
24440,129,151,0,1.000303864479065,1.00204336643219,0.024021852761507034
24441,130,151,0,1.000754952430725,1.0017348527908325,0.02023010514676571
24442,131,151,0,0.9997975826263428,1.0011262893676758,0.018623461946845055
24443,132,151,0,1.0000388622283936,1.0006890296936035,0.01649315468966961
24444,133,151,0,0.9993371367454529,1.0005617141723633,0.01721181534230709
24445,134,151,0,0.9996716976165771,1.0003852844238281,0.015857117250561714
24446,135,151,0,1.000188946723938,0.9998981952667236,0.012242845259606838
24447,136,151,0,1.0006375312805176,0.9995147585868835,0.009303548373281956
