Point ID,Structured Coordinates:0,Structured Coordinates:1,Structured Coordinates:2,nd1p,nd2p,phisp
9895,74,61,0,0.639479398727417,0.6456916928291321,-6.926523685455322
9896,75,61,0,0.6534868478775024,0.6614090800285339,-6.619702339172363
9897,76,61,0,0.6698859930038452,0.6600203514099121,-6.3651814460754395
9898,77,61,0,0.6788327097892761,0.6830007433891296,-6.087706089019775
9899,78,61,0,0.6879802942276001,0.6889899969100952,-5.834174633026123
9900,79,61,0,0.7043942213058472,0.704599142074585,-5.585241794586182
9901,80,61,0,0.7195245027542114,0.7046671509742737,-5.352644443511963
9902,81,61,0,0.7264330983161926,0.7314035892486572,-5.074252128601074
9903,82,61,0,0.7320436835289001,0.7386610507965088,-4.8795576095581055
9904,83,61,0,0.7382137179374695,0.7173087000846863,-4.740623950958252
9905,84,61,0,0.7468850612640381,0.729620635509491,-4.540761947631836
9906,85,61,0,0.7580716013908386,0.7501283288002014,-4.312304496765137
9907,86,61,0,0.7687488794326782,0.7394993901252747,-4.141026973724365
9908,87,61,0,0.7732234001159668,0.7656229734420776,-3.895259141921997
9909,88,61,0,0.789337158203125,0.7856831550598145,-3.7026734352111816
9910,89,61,0,0.8031789064407349,0.7665110230445862,-3.5885748863220215
9911,90,61,0,0.8144723773002625,0.7990912795066833,-3.3677964210510254
9912,91,61,0,0.819628894329071,0.8374651670455933,-3.1041271686553955
9913,92,61,0,0.8240346908569336,0.8464268445968628,-2.915731906890869
9914,93,61,0,0.8313518762588501,0.8393422961235046,-2.827575206756592
9915,94,61,0,0.8396364450454712,0.8327761888504028,-2.746795415878296
9916,95,61,0,0.8440902829170227,0.8795814514160156,-2.5735182762145996
9917,96,61,0,0.851854145526886,0.8867182731628418,-2.4697697162628174
9918,97,61,0,0.8507479429244995,0.8642357587814331,-2.4069478511810303
9919,98,61,0,0.8545886278152466,0.889133095741272,-2.3032708168029785
9920,99,61,0,0.8638566732406616,0.8745690584182739,-2.2438626289367676
9921,100,61,0,0.8600012063980103,0.8693425059318542,-2.1530981063842773
9922,101,61,0,0.872282862663269,0.8859683871269226,-2.0292928218841553
9923,102,61,0,0.8744684457778931,0.8894398808479309,-1.9333661794662476
9924,103,61,0,0.886968731880188,0.883311927318573,-1.9226038455963135
9925,104,61,0,0.8889240026473999,0.8734384775161743,-1.8835198879241943
9926,105,61,0,0.8886696100234985,0.8754396438598633,-1.7609107494354248
9927,106,61,0,0.890973687171936,0.9338609576225281,-1.5628732442855835
9928,107,61,0,0.8986155390739441,0.8964180946350098,-1.5408164262771606
9929,108,61,0,0.9018670320510864,0.9021892547607422,-1.5110987424850464
9930,109,61,0,0.9058606028556824,0.9224914312362671,-1.465963363647461
9931,110,61,0,0.9034789204597473,0.9298076629638672,-1.437406063079834
9932,111,61,0,0.9069415926933289,0.8851901292800903,-1.5074808597564697
9933,112,61,0,0.9122376441955566,0.8842924237251282,-1.4982022047042847
9934,113,61,0,0.9022245407104492,0.9083914756774902,-1.3937612771987915
9935,114,61,0,0.9029484987258911,0.8970522880554199,-1.3508504629135132
9936,115,61,0,0.9148913621902466,0.9146717190742493,-1.3470580577850342
